Team,Date,Season,Pts,PtsO,Rate,TO,Y/P,DY/P,ToP,Rate.1,Att,Att.1,Day,G#,Week,Away,Opp,Result,PtDif,PC,Cmp,Att.2,Inc,Cmp%,Yds,TD,Int,TD%,Int%,Sk,Yds.1,Sk%,Y/A,NY/A,AY/A,ANY/A,Y/C,Rush_Yds,Rush_Y/A,TD.1,Tot,Ply,DPly,TO.1,Time,Cmp.1,Att.3,Cmp%.1,Yds.2,TD.2,Sk.1,Yds.3,Int.1,Opp_Rush_Yds,Y/A.1,TD.3,Rush,Pass,Tot.1,Anomaly
GNB,2024-11-17,2024,20,19,113.0,-1,8.51,5.75,1419,92.4,25,34,Sun,10,11,0,CHI,1,1,39,13,17,4,76.5,260,1,1,5.9,5.9,1,1,5.56,15.3,14.44,13.82,13.06,20.0,106,4.2,2,366,43,68,1,2,23,31,74.2,212,0,3,19,0,179,5.3,2,-73,48,-25,1
HOU,2024-11-10,2024,23,26,64.2,3,3.82,5.56,1948,59.7,28,32,Sun,10,10,1,DET,0,-3,49,19,33,14,57.6,192,1,2,3.0,6.1,4,40,10.81,5.8,5.19,3.7,3.3,10.1,56,2.0,1,248,65,62,2,3,15,30,50.0,240,2,0,0,5,105,3.3,1,-49,-48,-97,1
DET,2024-11-10,2024,26,23,59.7,-3,5.56,3.82,1652,59.2,32,28,Sun,9,10,0,HOU,1,3,49,15,30,15,50.0,240,2,5,6.7,16.7,0,0,0.0,8.0,8.0,1.83,1.83,16.0,105,3.3,1,345,62,65,5,3,19,33,57.6,192,1,4,40,2,56,2.0,1,49,48,97,1
DET,2024-10-27,2024,52,14,126.9,4,4.79,5.86,1463,65.5,24,32,Sun,7,8,1,TEN,1,38,66,15,19,4,78.9,61,4,0,21.1,0.0,4,33,17.39,3.2,2.65,7.42,6.13,4.1,164,6.8,2,225,47,71,0,2,22,38,57.9,258,1,1,8,2,158,4.9,1,6,-197,-191,1
BAL,2024-10-21,2024,41,31,158.1,1,9.41,6.17,1495,96.2,30,30,Mon,7,7,0,TAM,1,10,72,17,22,5,77.3,264,5,0,22.7,0.0,2,17,8.33,12.0,11.0,16.55,15.17,15.5,244,8.1,0,508,54,78,1,3,31,45,68.9,356,3,3,14,2,125,4.2,1,119,-92,27,1
DET,2024-09-30,2024,42,29,158.3,2,7.78,6.62,1556,85.6,28,19,Mon,4,4,1,SEA,1,13,71,19,19,0,100.0,273,3,0,15.8,0.0,3,26,13.64,14.4,12.41,17.53,15.14,14.4,116,4.1,3,389,50,78,0,3,38,56,67.9,383,1,3,12,1,133,7.0,3,-17,-110,-127,1
NOR,2024-09-15,2024,44,19,125.0,1,7.71,5.35,1831,74.0,39,21,Sun,2,2,0,DAL,1,25,63,11,16,5,68.8,242,2,1,12.5,6.3,1,1,5.88,15.1,14.24,14.81,13.94,22.0,190,4.9,4,432,56,66,1,2,28,42,66.7,285,1,3,14,2,68,3.2,0,122,-43,79,1
IND,2024-09-08,2024,27,29,101.2,-1,7.05,5.49,1200,112.0,22,40,Sun,1,1,1,HOU,0,-2,56,9,19,10,47.4,199,2,1,10.5,5.3,2,13,9.52,10.5,9.48,10.21,9.24,22.1,104,4.7,2,303,43,76,1,3,24,32,75.0,204,2,4,30,0,213,5.3,1,-109,-5,-114,1
MIA,2023-12-31,2023,19,56,71.9,-2,5.68,8.93,1777,158.3,25,32,Sun,16,17,0,BAL,0,-37,75,22,38,16,57.9,221,2,2,5.3,5.3,3,16,7.32,5.8,5.39,4.5,4.17,10.0,154,6.2,0,375,66,55,3,3,19,22,86.4,331,6,1,9,0,160,5.0,2,-6,-110,-116,1
BAL,2023-12-31,2023,56,19,158.3,2,8.93,5.68,1823,70.2,32,25,Sun,16,17,1,MIA,1,37,75,19,22,3,86.4,331,6,0,27.3,0.0,1,9,4.35,15.0,14.39,20.5,19.61,17.4,160,5.0,2,491,55,66,1,3,22,38,57.9,221,2,3,16,2,154,6.2,0,6,110,116,1
BAL,2023-12-25,2023,33,19,105.9,5,5.44,6.31,1874,44.7,26,18,Mon,15,16,0,SFO,1,14,52,23,35,12,65.7,241,2,0,5.7,0.0,2,11,5.41,6.9,6.51,8.03,7.59,10.5,102,3.9,1,343,63,68,0,3,26,46,56.5,308,1,4,28,5,121,6.7,1,-19,-67,-86,1
SFO,2023-12-25,2023,19,33,47.3,-5,6.31,5.44,1726,104.6,18,26,Mon,15,16,1,BAL,0,-14,52,26,46,20,56.5,308,1,5,2.2,10.9,4,28,8.0,6.7,6.16,2.24,2.06,11.8,121,6.7,1,429,68,63,5,3,23,35,65.7,241,2,2,11,0,102,3.9,1,19,67,86,1
LVR,2023-12-14,2023,63,21,122.7,5,6.0,5.17,1791,110.7,26,28,Thu,14,15,1,LAC,1,42,84,22,36,14,61.1,254,5,0,13.9,0.0,1,6,2.7,7.1,6.86,9.83,9.57,11.5,124,4.8,2,378,63,63,0,3,23,32,71.9,234,3,3,23,1,92,3.3,0,32,20,52,1
LAC,2023-12-14,2023,21,63,113.7,-5,5.17,6.0,1809,122.0,28,26,Thu,14,15,0,LVR,0,-42,84,23,32,9,71.9,234,3,1,9.4,3.1,3,23,8.57,7.3,6.69,7.78,7.11,10.2,92,3.3,0,326,63,63,5,3,22,36,61.1,254,5,1,6,0,124,4.8,2,-32,-20,-52,1
SEA,2023-12-10,2023,16,28,92.0,0,5.89,9.94,1845,122.1,20,23,Sun,13,14,0,SFO,0,-12,44,22,31,9,71.0,254,2,2,6.5,6.5,4,15,11.43,8.2,7.26,6.58,5.83,11.5,70,3.5,0,324,55,53,2,3,19,27,70.4,354,2,3,14,1,173,7.5,2,-103,-100,-203,1
SFO,2023-12-10,2023,28,16,122.1,0,9.94,5.89,1755,90.0,23,20,Sun,13,14,1,SEA,1,12,44,19,27,8,70.4,354,2,1,7.4,3.7,3,14,10.0,13.1,11.8,12.93,11.63,18.6,173,7.5,2,527,53,55,2,3,22,31,71.0,254,2,4,15,2,70,3.5,0,103,100,203,1
WAS,2023-11-19,2023,19,31,62.8,-6,5.25,5.41,2091,130.4,28,19,Sun,11,11,1,NYG,0,-12,50,31,45,14,68.9,230,1,3,2.2,6.7,4,26,8.16,5.1,4.69,2.56,2.35,7.4,174,6.2,1,404,77,54,6,3,18,26,69.2,201,3,9,45,0,91,4.8,0,83,29,112,1
DAL,2023-11-12,2023,49,17,120.6,-1,8.31,3.13,2241,67.1,33,23,Sun,9,10,1,NYG,1,32,66,33,44,11,75.0,472,4,2,9.1,4.5,0,0,0.0,10.7,10.73,10.5,10.5,14.3,168,5.1,3,640,77,55,2,3,14,27,51.9,61,2,5,25,1,111,4.8,0,57,411,468,1
NYG,2023-11-12,2023,17,49,67.8,1,3.13,8.31,1359,120.6,23,33,Sun,10,10,0,DAL,0,-32,66,14,27,13,51.9,61,2,1,7.4,3.7,5,25,15.63,2.3,1.91,2.07,1.75,4.4,111,4.8,0,172,55,77,1,3,33,44,75.0,472,4,0,0,2,168,5.1,3,-57,-411,-468,1
NYG,2023-10-29,2023,10,13,50.3,2,2.77,4.05,2293,73.0,52,22,Sun,8,8,1,NYJ,0,-3,23,6,14,8,42.9,-9,0,0,0.0,0.0,4,16,22.22,-0.6,-0.5,-0.64,-0.5,-1.5,203,3.9,1,194,70,62,0,3,17,36,47.2,193,1,4,47,0,58,2.6,0,145,-202,-57,1
MIA,2023-10-08,2023,31,16,100.4,-3,9.7,3.94,1441,85.8,23,29,Sun,5,5,1,NYG,1,15,47,22,30,8,73.3,302,2,2,6.7,6.7,1,6,3.23,10.1,9.74,8.4,8.13,13.7,222,9.7,2,524,54,68,3,3,23,32,71.9,183,0,7,22,0,85,2.9,0,137,119,256,1
