,ID,Team1Won,Season,Date,Team1,Team2,Home,Team1Pts,Team2Pts,Team1PtDiff,Team2PtDiff,Team1TM,Team2TM,Team1Rating,Team2Rating,Team1Sks,Team2Sks,Team1SkYds,Team2SkYds,Team1RushAtt,Team2RushAtt,Team1RushYds,Team2RushYds,Team1RYM,Team2RYM,Team1PYM,Team2PYM,Team1YM,Team2YM
0,1477,True,2022,2022-09-08,BUF,LAR,0,31,10,21,-21,-1,1,112.0,58.1,2,7,5,49,25,18,121,52,69,-69,101,-101,170,-170
1,1449,False,2022,2022-09-11,ATL,NOR,1,26,27,-1,1,-1,1,79.7,106.7,0,4,0,35,38,19,201,151,50,-50,-19,19,31,-31
2,1451,False,2022,2022-09-11,CAR,CLE,1,24,26,-2,2,-1,1,84.6,72.9,4,1,28,9,19,39,54,217,-163,163,69,-69,-94,94
3,1453,True,2022,2022-09-11,CHI,SFO,1,19,10,9,-9,1,-1,85.7,49.0,2,2,16,9,37,37,99,176,-77,77,-50,50,-127,127
4,1455,False,2022,2022-09-11,CIN,PIT,1,20,23,-3,3,-5,5,61.7,78.0,7,1,39,2,34,22,133,75,58,-58,107,-107,165,-165
5,1457,False,2022,2022-09-11,ARI,KAN,1,21,44,-23,23,1,-1,94.7,144.2,3,0,26,0,22,27,103,128,-25,25,-181,181,-206,206
6,1459,False,2022,2022-09-11,DAL,TAM,1,3,19,-16,16,0,0,53.5,84.6,4,2,25,17,18,33,71,152,-81,81,-22,22,-103,103
7,1475,False,2022,2022-09-11,JAX,WAS,0,22,28,-6,6,2,-2,75.0,100.2,2,1,15,8,18,28,123,85,38,-38,-45,45,-7,7
8,1463,False,2022,2022-09-11,IND,HOU,0,20,20,0,0,-1,1,83.1,96.9,2,3,12,18,38,28,177,77,100,-100,118,-118,218,-218
9,1473,False,2022,2022-09-11,LVR,LAC,0,19,24,-5,5,-3,3,69.1,129.4,6,0,39,0,13,31,64,76,-12,12,-23,23,-35,35
10,1471,True,2022,2022-09-11,NYG,TEN,0,21,20,1,-1,-1,1,115.9,106.4,5,1,32,0,32,26,238,93,145,-145,-110,110,35,-35
11,1461,False,2022,2022-09-11,DET,PHI,1,35,38,-3,3,-1,1,80.3,80.1,1,1,10,4,28,39,181,216,-35,35,-34,34,-69,69
12,1467,False,2022,2022-09-11,GNB,MIN,0,7,23,-16,16,-2,2,74.7,117.8,4,1,33,8,18,28,111,126,-15,15,-42,42,-57,57
13,1465,True,2022,2022-09-11,MIA,NWE,1,20,7,13,-13,3,-3,104.4,84.4,3,2,28,20,23,22,65,78,-13,13,49,-49,36,-36
14,1469,False,2022,2022-09-11,NYJ,BAL,1,9,24,-15,15,-1,1,74.8,98.1,3,2,12,2,17,21,83,63,20,-20,86,-86,106,-106
15,1447,False,2022,2022-09-12,DEN,SEA,0,16,17,-1,1,-1,1,101.3,116.8,2,2,10,18,20,19,103,76,27,-27,153,-153,180,-180
16,1445,True,2022,2022-09-15,KAN,LAC,1,27,24,3,-3,1,-1,106.2,99.8,1,2,9,8,18,24,93,75,18,-18,-100,100,-82,82
17,1419,False,2022,2022-09-18,CLE,NYJ,1,30,31,-1,1,0,0,98.9,110.3,1,2,8,15,37,20,184,93,91,-91,-88,88,3,-3
18,1421,False,2022,2022-09-18,CIN,DAL,0,17,20,-3,3,1,-1,89.9,94.8,6,1,34,5,25,27,89,107,-18,18,-65,65,-83,83
19,1423,True,2022,2022-09-18,DEN,HOU,1,16,9,7,-7,-1,1,66.5,60.6,3,3,18,23,31,18,149,80,69,-69,47,-47,116,-116
20,1425,True,2022,2022-09-18,DET,WAS,1,36,27,9,-9,1,-1,121.7,97.0,3,5,22,29,24,21,191,88,103,-103,-74,74,29,-29
21,1427,False,2022,2022-09-18,CHI,GNB,0,10,27,-17,17,0,0,43.8,127.2,3,3,22,23,27,38,180,203,-23,23,-163,163,-186,186
22,1429,False,2022,2022-09-18,IND,JAX,0,0,24,-24,24,-3,3,34.0,121.5,5,0,31,0,13,37,54,96,-42,42,-71,71,-113,113
23,1433,False,2022,2022-09-18,CAR,NYG,0,16,19,-3,3,-2,2,74.6,85.7,2,3,16,14,23,33,146,103,43,-43,-33,33,10,-10
24,1435,True,2022,2022-09-18,NWE,PIT,0,17,14,3,-3,1,-1,79.7,71.8,0,3,0,16,31,22,124,91,33,-33,100,-100,133,-133
25,1439,False,2022,2022-09-18,ATL,LAR,0,27,31,-4,4,0,0,81.6,100.7,3,1,25,0,27,26,90,65,25,-25,-101,101,-76,76
26,1441,True,2022,2022-09-18,MIA,BAL,0,42,38,4,-4,-2,2,124.1,142.6,1,0,8,0,18,25,86,155,-69,69,143,-143,74,-74
27,1443,False,2022,2022-09-18,SEA,SFO,0,7,27,-20,20,-3,3,66.2,100.0,2,1,17,0,14,45,36,189,-153,153,-4,4,-157,157
