Rk,Team,Date,Season,Pts,PtsO,Rate,TO,Y/P,DY/P,ToP,Rate,Att,Att,Day,G#,Week,Away,Opp,Result,Pts,PtsO,PtDif,PC,Cmp,Att,Inc,Cmp%,Yds,TD,Int,TD%,Int%,Rate,Sk,Yds,Sk%,Y/A,NY/A,AY/A,ANY/A,Y/C,Rush_Att,Rush_Yds,Rush_Y/A,TD,Tot,Ply,Y/P,DPly,DY/P,TO,ToP,Time,Cmp,Att,Cmp%,Yds,TD,Sk,Yds,Int,Rate,Opp_Rush_Att,Opp_Rush_Yds,Y/A,TD,Rush,Pass,Tot,TO
1,DET,2024-12-05,2024,34,31,109.7,0,5.14,6.62,36:06,110.2,34,24,Thu,13,14,,GNB,W 34-31,34,31,3,65,32,41,9,78.0,280,3,1,7.3,2.4,109.7,1,3,2.38,6.8,6.67,7.20,7.02,8.8,34,111,3.3,1,391,76,5.14,45,6.62,1,36:06,3:12,12,20,60.0,199,1,1,7,0,110.2,24,99,4.1,3,12,81,93,0
2,GNB,2024-12-05,2024,31,34,111.7,0,6.62,5.14,23:54,109.3,24,34,Thu,13,14,@,DET,L 31-34,31,34,-3,65,12,20,8,60.0,199,1,0,5.0,0.0,111.7,1,7,4.76,10.0,9.48,10.95,10.43,16.6,24,99,4.1,3,298,45,6.62,76,5.14,1,23:54,3:12,32,41,78.0,280,3,1,3,1,109.3,34,111,3.3,1,-12,-81,-93,0
3,DEN,2024-12-02,2024,41,32,65.7,1,6.56,6.57,27:50,86.5,26,23,Mon,13,13,,CLE,W 41-32,41,32,9,73,18,35,17,51.4,294,1,2,2.9,5.7,65.7,0,0,0.00,8.4,8.40,6.40,6.40,16.3,26,106,4.1,2,400,61,6.56,84,6.57,2,27:50,3:29,34,58,58.6,475,4,3,22,3,86.5,23,77,3.3,0,29,-181,-152,1
4,CLE,2024-12-02,2024,32,41,88.1,-1,6.57,6.56,32:10,65.7,23,26,Mon,12,13,@,DEN,L 32-41,32,41,-9,73,34,58,24,58.6,475,4,3,6.9,5.2,88.1,3,22,4.92,8.2,7.79,7.24,6.89,14.0,23,77,3.3,0,552,84,6.57,61,6.56,3,32:10,3:29,18,35,51.4,294,1,0,0,2,65.7,26,106,4.1,2,-29,181,152,-1
5,JAX,2024-12-01,2024,20,23,83.0,-1,5.57,5.34,27:43,92.5,25,25,Sun,12,13,,HOU,L 20-23,20,23,-3,43,24,42,18,57.1,276,2,1,4.8,2.4,83.0,0,0,0.00,6.6,6.57,6.45,6.45,11.5,25,97,3.9,0,373,67,5.57,61,5.34,1,27:43,3:18,22,34,64.7,218,1,2,24,0,92.5,25,108,4.3,1,-11,58,47,-1
6,CIN,2024-12-01,2024,38,44,112.7,-2,6.58,7.88,28:51,126.0,15,26,Sun,12,13,,PIT,L 38-44,38,44,-6,82,28,38,10,73.7,282,3,1,7.9,2.6,112.7,4,27,9.52,7.4,6.71,7.82,7.07,10.1,15,93,6.2,1,375,57,6.58,66,7.88,3,28:51,3:20,29,38,76.3,410,3,2,4,1,126.0,26,110,4.2,1,-17,-128,-145,-2
7,TAM,2024-12-01,2024,26,23,70.7,-1,5.78,5.40,39:31,82.6,39,21,Sun,12,13,@,CAR,W 26-23 (OT),26,23,3,49,22,34,12,64.7,209,1,2,2.9,5.9,70.7,4,31,10.53,6.1,5.50,4.09,3.66,9.5,39,236,6.1,1,445,77,5.78,68,5.40,2,39:31,3:38,26,46,56.5,289,1,1,9,0,82.6,21,78,3.7,1,158,-80,78,-1
8,SFO,2024-12-01,2024,10,35,74.8,-3,5.09,6.64,26:33,138.9,27,38,Sun,12,13,@,BUF,L 10-35,10,35,-25,45,11,18,7,61.1,86,0,0,0.0,0.0,74.8,2,8,10.00,4.8,4.30,4.78,4.30,7.8,27,153,5.7,1,239,47,5.09,56,6.64,3,26:33,2:46,14,18,77.8,152,2,0,0,0,138.9,38,220,5.8,3,-67,-66,-133,-3
9,LAR,2024-12-01,2024,21,14,110.2,0,5.85,4.81,27:23,85.9,29,31,Sun,12,13,@,NOR,W 21-14,21,14,7,35,14,24,10,58.3,166,2,0,8.3,0.0,110.2,2,17,7.69,6.9,6.38,8.58,7.92,11.9,29,156,5.4,1,322,55,5.85,68,4.81,0,27:23,2:53,24,37,64.9,184,1,0,0,0,85.9,31,143,4.6,0,13,-18,-5,0
10,ATL,2024-12-01,2024,13,17,40.0,-3,4.55,4.07,35:55,83.9,37,17,Sun,12,13,,LAC,L 13-17,13,17,-4,30,24,39,15,61.5,234,0,4,0.0,10.3,40.0,1,11,2.50,6.0,5.85,1.38,1.35,9.8,37,116,3.1,1,350,77,4.55,46,4.07,4,35:55,2:44,17,24,70.8,131,0,5,19,0,83.9,17,56,3.3,0,60,103,163,-3
11,IND,2024-12-01,2024,25,24,55.7,-1,4.36,6.49,25:48,94.7,34,31,Sun,13,13,@,NWE,W 25-24,25,24,1,49,12,24,12,50.0,109,2,2,8.3,8.3,55.7,0,0,0.00,4.5,4.54,2.46,2.46,9.1,34,144,4.2,1,253,58,4.36,65,6.49,2,25:48,2:59,24,30,80.0,222,1,4,16,1,94.7,31,200,6.5,1,-56,-113,-169,-1
12,NWE,2024-12-01,2024,24,25,96.9,1,6.49,4.36,34:12,55.7,31,34,Sun,13,13,,IND,L 24-25,24,25,-1,49,24,30,6,80.0,222,1,1,3.3,3.3,96.9,4,16,11.76,7.4,6.53,6.57,5.79,9.3,31,200,6.5,1,422,65,6.49,58,4.36,1,34:12,2:59,12,24,50.0,109,2,0,0,2,55.7,34,144,4.2,1,56,113,169,1
13,NYJ,2024-12-01,2024,21,26,73.1,0,4.16,4.54,28:39,90.1,21,23,Sun,12,13,,SEA,L 21-26,21,26,-5,47,21,39,18,53.8,169,2,1,5.1,2.6,73.1,2,16,4.88,4.3,4.12,4.21,4.00,8.0,21,89,4.2,0,258,62,4.16,57,4.54,2,28:39,3:06,20,31,64.5,175,1,3,31,0,90.1,23,84,3.7,1,5,-6,-1,0
