Season,Date,Team1,Team2,Home,Team1Pts,Team2Pts,Team1PtDiff,Team2PtDiff,Team1TM,Team2TM,Team1Rating,Team2Rating,Team1Y/P,Team2Y/P,Team1DY/P,Team2DY/P,Team1ToP,Team2ToP,Team1Sks,Team2Sks,Team1SkYds,Team2SkYds,Team1RushAtt,Team2RushAtt,Team1RushYds,Team2RushYds,Team1PYM,Team2PYM,Team1RYM,Team2RYM,Team1YM,Team2YM,Team1Won
2024,2024-12-05,DET,GNB,0,34,31.0,3,-3.0,0,0.0,109.7,111.7,5.14,6.62,6.62,5.14,2166,1434.0,1,1.0,3,7.0,34,24.0,111,99.0,81,-81.0,12,-12.0,-4,4.0,1
2024,2024-12-05,GNB,DET,1,31,34.0,-3,3.0,0,0.0,111.7,109.7,6.62,5.14,5.14,6.62,1434,2166.0,1,1.0,7,3.0,24,34.0,99,111.0,-81,81.0,-12,12.0,4,-4.0,0
2024,2024-12-02,DEN,CLE,0,41,32.0,9,-9.0,1,-1.0,65.7,88.1,6.56,6.57,6.57,6.56,1670,1930.0,0,3.0,0,22.0,26,23.0,106,77.0,-181,181.0,29,-29.0,-22,22.0,1
2024,2024-12-02,CLE,DEN,1,32,41.0,-9,9.0,-1,1.0,88.1,65.7,6.57,6.56,6.56,6.57,1930,1670.0,3,0.0,22,0.0,23,26.0,77,106.0,181,-181.0,-29,29.0,22,-22.0,0
2024,2024-12-01,JAX,HOU,0,20,23.0,-3,3.0,-1,1.0,83.0,95.5,5.57,5.34,5.34,5.57,1663,1937.0,0,2.0,0,24.0,25,25.0,97,108.0,58,-58.0,-11,11.0,-24,24.0,0
2024,2024-12-01,CIN,PIT,0,38,44.0,-6,6.0,-2,2.0,112.7,126.4,6.58,7.88,7.88,6.58,1731,1869.0,4,2.0,27,4.0,15,26.0,93,110.0,-128,128.0,-17,17.0,23,-23.0,0
2024,2024-12-01,TAM,CAR,1,26,23.0,3,-3.0,-1,1.0,70.7,83.4,5.78,5.4,5.4,5.78,2371,1659.0,4,1.0,31,9.0,39,21.0,236,78.0,-80,80.0,158,-158.0,22,-22.0,1
2024,2024-12-01,SFO,BUF,1,10,35.0,-25,25.0,-3,3.0,74.8,138.9,5.09,6.64,6.64,5.09,1593,2007.0,2,0.0,8,0.0,27,38.0,153,220.0,-66,66.0,-67,67.0,8,-8.0,0
2024,2024-12-01,LAR,NOR,1,21,14.0,7,-7.0,0,0.0,110.2,85.9,5.85,4.81,4.81,5.85,1643,1957.0,2,0.0,17,0.0,29,31.0,156,143.0,-18,18.0,13,-13.0,17,-17.0,1
2024,2024-12-01,ATL,LAC,0,13,17.0,-4,4.0,-3,3.0,40.0,87.2,4.55,4.07,4.07,4.55,2155,1445.0,1,5.0,11,19.0,37,17.0,116,56.0,103,-103.0,60,-60.0,-8,8.0,0
2024,2024-12-01,IND,NWE,1,25,24.0,1,-1.0,-1,1.0,55.7,96.9,4.36,6.49,6.49,4.36,1548,2052.0,0,4.0,0,16.0,34,31.0,144,200.0,-113,113.0,-56,56.0,-16,16.0,1
2024,2024-12-01,NWE,IND,0,24,25.0,-1,1.0,1,-1.0,96.9,55.7,6.49,4.36,4.36,6.49,2052,1548.0,4,0.0,16,0.0,31,34.0,200,144.0,113,-113.0,56,-56.0,16,-16.0,0
2024,2024-12-01,NYJ,SEA,0,21,26.0,-5,5.0,0,0.0,73.1,94.3,4.16,4.54,4.54,4.16,1719,1881.0,2,3.0,16,31.0,21,23.0,89,84.0,-6,6.0,5,-5.0,-15,15.0,0
2024,2024-12-01,MIN,ARI,0,23,22.0,1,-1.0,1,-1.0,111.6,72.5,5.35,5.27,5.27,5.35,1451,2149.0,5,1.0,30,8.0,15,31.0,68,154.0,-47,47.0,-86,86.0,22,-22.0,1
2024,2024-12-01,PHI,BAL,1,24,19.0,5,-5.0,0,0.0,93.7,101.3,4.67,5.24,5.24,4.67,1569,2031.0,2,3.0,6,31.0,33,32.0,140,166.0,-94,94.0,-26,26.0,-25,25.0,1
2024,2024-12-01,SEA,NYJ,1,26,21.0,5,-5.0,0,0.0,94.3,73.1,4.54,4.16,4.16,4.54,1881,1719.0,3,2.0,31,16.0,23,21.0,84,89.0,6,-6.0,-5,5.0,15,-15.0,1
2024,2024-12-01,TEN,WAS,1,19,42.0,-23,23.0,-1,1.0,84.5,114.7,4.9,6.01,6.01,4.9,1187,2413.0,2,2.0,2,10.0,11,45.0,35,267.0,14,-14.0,-232,232.0,-8,8.0,0
2024,2024-12-01,BUF,SFO,0,35,10.0,25,-25.0,3,-3.0,138.9,74.8,6.64,5.09,5.09,6.64,2007,1593.0,0,2.0,0,8.0,38,27.0,220,153.0,66,-66.0,67,-67.0,-8,8.0,1
2024,2024-12-01,LAC,ATL,1,17,13.0,4,-4.0,3,-3.0,87.2,40.0,4.07,4.55,4.55,4.07,1445,2155.0,5,1.0,19,11.0,17,37.0,56,116.0,-103,103.0,-60,60.0,8,-8.0,1
2024,2024-12-01,BAL,PHI,0,19,24.0,-5,5.0,0,0.0,101.3,93.7,5.24,4.67,4.67,5.24,2031,1569.0,3,2.0,31,6.0,32,33.0,166,140.0,94,-94.0,26,-26.0,25,-25.0,0
2024,2024-12-01,WAS,TEN,0,42,19.0,23,-23.0,1,-1.0,114.7,84.5,6.01,4.9,4.9,6.01,2413,1187.0,2,2.0,10,2.0,45,11.0,267,35.0,-14,14.0,232,-232.0,8,-8.0,1
2024,2024-12-01,ARI,MIN,1,22,23.0,-1,1.0,-1,1.0,72.5,111.6,5.27,5.35,5.35,5.27,2149,1451.0,1,5.0,8,30.0,31,15.0,154,68.0,47,-47.0,86,-86.0,-22,22.0,0
2024,2024-12-01,HOU,JAX,1,23,20.0,3,-3.0,1,-1.0,95.5,83.0,5.34,5.57,5.57,5.34,1937,1663.0,2,0.0,24,0.0,25,25.0,108,97.0,-58,58.0,11,-11.0,24,-24.0,1
2024,2024-12-01,CAR,TAM,0,23,26.0,-3,3.0,1,-1.0,83.4,70.7,5.4,5.78,5.78,5.4,1659,2371.0,1,4.0,9,31.0,21,39.0,78,236.0,80,-80.0,-158,158.0,-22,22.0,0
2024,2024-12-01,PIT,CIN,1,44,38.0,6,-6.0,2,-2.0,126.4,112.7,7.88,6.58,6.58,7.88,1869,1731.0,2,4.0,4,27.0,26,15.0,110,93.0,128,-128.0,17,-17.0,-23,23.0,1
